0,0,0,-3.089,2.339,-0.973,0.463,-1.169,0.5429999999999999,0.598,-0.45,-0.08,-0.039,6
0,0,0,-3.459,2.086,-0.595,0.937,-1.841,0.6,0.457,0.4,0.473,-0.211,7
0,0,0,-4.208,2.447,0.049,1.331,-2.088,0.585,-0.05,0.82,0.606,-0.302,8
0,0,0,-3.543,1.391,-1.22,0.6990000000000001,-0.769,1.579,-0.379,1.158,0.181,-0.17800000000000002,9
0,0,0,-3.684,1.774,-1.7280000000000002,1.611,0.1,1.393,-0.193,0.5539999999999999,0.245,-0.919,10
0,0,0,-2.596,1.56,-1.249,0.6559999999999999,-1.095,1.2919999999999998,-0.55,1.006,-0.15,-0.5529999999999999,11
0,0,0,-3.604,0.235,-0.836,1.786,-0.153,1.642,-0.096,0.488,-0.524,-1.003,1
0,0,0,-3.1710000000000003,0.49,-1.128,0.911,-0.388,2.014,-0.212,0.7070000000000001,-0.551,-0.187,2
0,0,0,-2.302,0.85,-1.646,0.455,-0.488,1.491,-0.617,0.8190000000000001,-0.887,-0.08,3
0,0,0,-2.3680000000000003,1.727,-1.556,1.162,-0.8190000000000001,0.941,-0.5720000000000001,0.345,-0.279,-0.736,4
0,0,0,-3.141,1.873,-1.131,0.941,-0.759,1.224,-0.354,0.016,-0.218,-0.568,5
0,0,0,-3.065,2.372,-1.002,0.496,-1.295,0.86,0.327,-0.404,0.067,-0.155,6
0,0,0,-3.4730000000000003,2.178,-0.82,0.706,-1.71,0.779,0.422,0.35100000000000003,0.426,-0.267,7
0,0,0,-4.238,2.437,0.036000000000000004,1.158,-2.127,0.5539999999999999,0.12,0.823,0.565,-0.293,8
0,0,0,-3.5460000000000003,1.258,-1.227,0.823,-0.7020000000000001,1.734,-0.397,1.3330000000000002,-0.277,0.013,9
0,0,0,-3.869,1.86,-1.646,1.612,0.044,1.531,-0.493,0.862,-0.106,-1.001,10
0,0,0,-2.6660000000000004,1.516,-1.198,0.741,-1.0659999999999998,1.24,-0.574,0.965,-0.13,-0.711,11
0,1,0,-4.102,0.209,0.414,0.423,0.985,1.4340000000000002,0.6629999999999999,0.036000000000000004,-0.784,-0.6679999999999999,1
0,1,0,-1.372,-0.03,-1.003,-0.388,-0.471,1.141,0.654,0.823,0.5579999999999999,0.043,2
0,1,0,-1.816,0.458,-0.947,-0.341,0.085,0.75,0.14400000000000002,0.462,-0.24,-0.266,3
0,1,0,-1.954,1.595,-1.5930000000000002,0.37,-0.136,0.022,0.034,0.321,-0.19,-0.491,4
0,1,0,-2.654,2.39,-0.008,0.07,-1.063,0.304,-0.105,0.281,0.488,-0.382,5
0,1,0,-2.321,1.3030000000000002,0.32,-0.085,-0.278,0.001,-0.094,-0.28300000000000003,0.852,0.022,6
0,1,0,-3.141,3.314,-0.996,-0.394,-0.19,-0.312,0.13699999999999998,0.631,0.547,-0.247,7
0,1,0,-3.941,3.353,0.486,-0.506,-1.12,0.101,0.297,0.711,-0.078,0.648,8
0,1,0,-4.1610000000000005,2.937,0.157,0.336,-0.968,0.6409999999999999,0.08800000000000001,0.237,0.565,0.823,9
0,1,0,-4.52,2.231,-0.08800000000000001,0.513,-0.528,1.246,0.198,0.242,0.161,0.769,10
0,1,0,-3.088,1.389,0.048,-0.21600000000000005,-0.329,0.91,0.045,-0.075,0.101,-0.134,11
0,1,0,-4.275,0.162,0.728,0.662,0.94,1.269,0.711,0.073,-0.8270000000000001,-0.655,1
0,1,0,-1.6569999999999998,0.056,-1.044,-0.32,-0.316,1.321,0.638,0.8,0.298,-0.159,2
0,1,0,-1.709,0.486,-0.953,-0.34600000000000003,0.02,0.7859999999999999,0.145,0.564,-0.229,-0.322,3
0,1,0,-1.952,1.469,-1.375,0.105,-0.154,0.17,-0.047,0.336,-0.098,-0.41,4
0,1,0,-2.67,2.696,-0.231,-0.028,-1.014,0.486,-0.13699999999999998,0.448,0.285,-0.482,5
0,1,0,-2.441,1.415,0.386,-0.335,-0.187,-0.079,-0.0,-0.175,0.792,-0.026,6
0,1,0,-3.1460000000000004,3.076,-0.6829999999999999,-0.032,-0.693,-0.06,-0.267,0.476,0.982,-0.35200000000000004,7
0,1,0,-3.902,3.5860000000000003,0.334,-0.669,-1.087,0.255,0.461,0.812,-0.185,0.535,8
0,1,0,-4.267,3.01,0.172,0.028,-0.8270000000000001,0.532,0.099,0.326,0.34,0.696,9
0,1,0,-4.65,2.455,0.013,0.6809999999999999,-0.8,1.4340000000000002,0.126,0.036000000000000004,0.382,0.278,10
0,1,0,-3.03,1.185,0.314,-0.121,-0.591,0.965,0.353,-0.13699999999999998,-0.221,0.075,11
0,1,0,-4.473,0.373,0.858,0.919,0.778,1.272,0.653,-0.21600000000000005,-0.8909999999999999,-0.627,1
0,1,0,-1.856,0.063,-1.011,-0.238,-0.152,1.461,0.5720000000000001,0.775,0.154,-0.31,2
0,1,0,-1.976,0.389,-0.947,-0.25,-0.065,0.949,0.127,0.478,-0.32299999999999995,-0.345,3
0,1,0,-1.914,1.473,-1.342,-0.013,-0.213,0.253,0.005,0.229,-0.009000000000000001,-0.445,4
0,1,0,-2.7,2.83,-0.389,0.032,-0.958,0.44,-0.168,0.519,0.16899999999999998,-0.525,5
0,1,0,-2.5540000000000003,1.117,0.42,-0.022,-0.645,0.02,0.145,-0.327,0.66,0.073,6
0,1,0,-3.054,3.104,-0.513,-0.085,-0.952,0.299,-0.269,0.459,0.892,-0.308,7
0,1,0,-3.84,3.745,0.121,-0.6559999999999999,-1.0659999999999998,0.329,0.7340000000000001,0.875,-0.295,0.418,8
0,1,0,-4.323,2.853,0.385,0.209,-1.096,0.431,0.119,0.268,0.131,0.654,9
0,1,0,-4.676,2.537,0.075,0.73,-0.933,1.493,0.049,0.076,0.254,0.276,10
0,1,0,-2.922,1.516,-0.002,-0.353,-0.464,1.1840000000000002,0.383,-0.175,-0.34600000000000003,-0.033,11
0,1,0,-4.477,0.246,1.087,1.108,0.682,1.057,0.424,-0.264,-1.195,-0.52,1
0,1,0,-1.895,-0.012,-0.97,-0.152,-0.161,1.509,0.487,0.809,0.044,-0.264,2
0,1,0,-1.945,0.35200000000000004,-1.053,-0.228,-0.12,0.927,0.08800000000000001,0.509,-0.279,-0.246,3
0,1,0,-1.912,1.554,-1.455,-0.017,-0.118,0.27,-0.037000000000000005,0.163,-0.027000000000000003,-0.474,4
0,1,0,-2.724,2.998,-0.56,-0.077,-0.944,0.5479999999999999,-0.08,0.4,0.14400000000000002,-0.63,5
0,1,0,-2.385,1.241,0.272,-0.04,-0.6920000000000001,0.16,-0.061,-0.189,0.7440000000000001,0.08800000000000001,6
0,1,0,-3.092,3.014,-0.307,-0.016,-0.956,0.195,-0.227,0.3670000000000001,0.958,-0.092,7
0,1,0,-3.917,3.4960000000000004,0.409,-0.531,-1.15,0.017,0.605,0.977,-0.328,0.447,8
0,1,0,-4.232,3.035,0.428,0.4970000000000001,-1.374,0.5489999999999999,0.133,0.232,0.129,0.487,9
0,1,0,-4.759,2.696,0.104,0.6970000000000001,-0.787,1.114,0.205,-0.066,0.369,0.306,10
0,1,0,-2.945,1.724,-0.312,-0.239,-0.447,1.36,0.014,-0.102,0.021,-0.564,11
0,1,0,-4.314,-0.106,1.044,1.192,0.687,0.763,0.158,-0.193,-1.342,-0.447,1
0,1,0,-2.05,0.065,-0.938,-0.037000000000000005,0.08199999999999999,1.561,0.393,0.835,-0.029,-0.394,2
0,1,0,-1.804,0.431,-1.0,-0.4270000000000001,-0.094,0.848,0.084,0.636,-0.275,-0.214,3
0,1,0,-1.978,1.5419999999999998,-1.487,-0.096,-0.025,0.32,-0.063,0.097,-0.073,-0.381,4
0,1,0,-2.748,3.217,-0.976,-0.213,-0.792,0.7709999999999999,-0.032,0.223,0.043,-0.825,5
0,1,0,-2.351,1.53,0.086,-0.075,-0.426,0.125,-0.197,0.033,0.848,-0.038,6
0,1,0,-3.105,2.9160000000000004,-0.207,0.031,-0.897,0.021,-0.229,0.256,1.073,-0.065,7
0,1,0,-3.985,3.614,0.584,-0.42,-1.105,-0.174,0.348,0.885,-0.165,0.65,8
0,1,0,-4.16,3.329,0.275,0.394,-1.287,0.693,0.483,0.121,0.28600000000000003,0.153,9
0,1,0,-4.88,3.064,0.06,0.434,-0.575,0.897,0.25,0.085,0.093,0.445,10
0,1,0,-3.082,1.633,-0.118,-0.147,-0.484,1.176,-0.086,-0.07200000000000001,0.086,-0.564,11
0,1,0,-4.158,-0.342,0.9,1.09,0.56,0.955,0.395,-0.328,-1.52,-0.498,1
0,1,0,-2.441,0.191,-0.8140000000000001,0.255,0.411,1.636,0.395,0.7609999999999999,-0.005,-0.564,2
0,1,0,-1.672,0.328,-0.833,-0.5770000000000001,-0.363,0.84,0.18,0.682,-0.124,-0.109,3
0,1,0,-2.051,1.508,-1.641,-0.058,-0.102,0.34600000000000003,-0.021,0.109,-0.147,-0.298,4
0,1,0,-2.7880000000000003,3.194,-1.142,-0.313,-0.58,0.35700000000000004,0.281,0.08199999999999999,0.109,-0.858,5
0,1,0,-2.489,1.773,-0.18,-0.152,-0.353,0.133,-0.18600000000000005,0.207,0.7879999999999999,-0.285,6
0,1,0,-3.065,3.139,-0.461,-0.221,-0.759,-0.045,0.068,0.274,0.999,-0.331,7
0,1,0,-3.963,3.938,0.466,-0.564,-1.042,-0.064,0.241,0.888,-0.032,0.7979999999999999,8
0,1,0,-4.136,3.582,-0.407,-0.038,-0.687,1.031,0.491,0.157,0.305,0.028,9
0,1,0,-4.944,3.325,0.015,0.079,-0.593,1.047,0.337,0.29600000000000004,-0.453,0.371,10
0,1,0,-3.0580000000000003,1.6780000000000002,-0.35100000000000003,-0.255,0.038,0.6920000000000001,-0.173,0.226,0.202,-0.593,11
0,2,0,-1.202,-0.253,-2.487,0.809,-0.3670000000000001,2.169,0.32,1.034,-1.385,-0.706,1
0,2,0,-1.077,0.511,-2.006,0.305,-0.584,1.962,0.08900000000000001,1.406,-0.669,-0.027000000000000003,2
0,2,0,-1.768,0.7859999999999999,-1.4680000000000002,1.077,-0.34700000000000003,1.704,-0.171,1.0759999999999998,-0.691,-0.06,3
0,2,0,-1.737,1.789,-1.046,1.071,-0.775,1.041,-0.025,0.925,-0.452,0.006999999999999999,4
0,2,0,-2.432,2.126,-0.218,1.422,-1.169,0.41,-0.393,1.3259999999999998,-0.067,0.225,5
0,2,0,-2.125,1.952,-0.415,1.4580000000000002,-0.985,0.52,-0.344,1.249,-0.37,0.145,6
0,2,0,-2.607,2.406,-0.08800000000000001,1.586,-1.477,0.16399999999999998,-0.527,1.551,0.033,0.522,7
0,2,0,-3.813,3.705,-0.157,1.561,-1.503,-0.366,-0.581,1.412,0.29,-0.099,8
0,2,0,-3.05,1.6,-0.6859999999999999,1.543,-1.149,-0.043,0.297,0.727,0.598,0.458,9
0,2,0,-3.972,2.279,-0.62,0.954,-1.09,0.7190000000000001,0.7170000000000001,0.3,1.3090000000000002,0.171,10
0,2,0,-2.979,1.795,-0.87,1.4269999999999998,-0.93,1.3230000000000002,-0.212,1.286,-0.135,-0.496,11
0,2,0,-1.298,-0.295,-2.4330000000000003,0.955,-0.278,2.252,0.285,0.915,-1.569,-0.562,1
0,2,0,-1.012,0.516,-2.041,0.32,-0.634,1.969,0.041,1.414,-0.687,0.047,2
0,2,0,-1.501,0.847,-1.619,0.92,-0.488,1.616,-0.161,1.127,-0.613,-0.051,3
0,2,0,-1.6740000000000002,1.711,-1.04,1.136,-0.8690000000000001,1.036,-0.157,0.946,-0.361,0.02,4
0,2,0,-2.3080000000000003,2.023,-0.203,1.493,-1.223,0.379,-0.481,1.403,-0.045,0.402,5
0,2,0,-2.155,2.027,-0.393,1.354,-1.045,0.6459999999999999,-0.246,1.279,-0.396,0.177,6
0,2,0,-2.652,2.156,-0.053,1.694,-1.258,0.062,-0.61,1.3969999999999998,0.133,0.602,7
0,2,0,-3.834,3.749,-0.183,1.518,-1.585,-0.281,-0.334,1.1909999999999998,0.425,-0.104,8
0,2,0,-3.33,1.529,-0.552,2.023,-0.845,0.016,0.049,0.512,0.396,0.386,9
0,2,0,-4.17,2.232,-0.389,1.211,-1.011,0.57,0.5429999999999999,0.218,1.206,0.044,10
0,2,0,-2.867,1.391,-0.8170000000000001,1.595,-0.883,1.143,-0.4270000000000001,1.159,0.17,-0.456,11
0,2,0,-1.393,-0.305,-2.29,1.1,-0.254,2.327,0.363,0.795,-1.521,-0.7559999999999999,1
0,2,0,-0.941,0.539,-2.02,0.314,-0.679,1.897,0.028,1.504,-0.632,0.111,2
0,2,0,-1.332,0.848,-1.665,0.97,-0.463,1.5219999999999998,-0.159,1.101,-0.541,-0.05,3
0,2,0,-1.57,1.655,-1.04,1.16,-0.923,0.961,-0.231,0.955,-0.273,0.065,4
0,2,0,-2.227,1.993,-0.156,1.554,-1.19,0.332,-0.5479999999999999,1.362,-0.013,0.369,5
0,2,0,-2.043,1.95,-0.435,1.341,-1.0490000000000002,0.5579999999999999,-0.237,1.237,-0.28300000000000003,0.306,6
0,2,0,-2.679,1.731,-0.09,2.003,-1.009,0.038,-0.8220000000000001,1.232,0.128,0.72,7
0,2,0,-3.836,3.699,-0.225,1.52,-1.729,-0.184,0.064,0.97,0.5,-0.13,8
0,2,0,-3.478,1.703,-0.557,2.191,-1.043,0.339,-0.004,0.5870000000000001,0.45,0.006,9
0,2,0,-4.333,2.438,-0.219,1.372,-0.7609999999999999,0.306,0.594,-0.022,1.103,0.19,10
0,2,0,-2.704,1.285,-0.908,1.57,-0.84,1.044,-0.399,0.951,0.345,-0.695,11
0,2,0,-1.4169999999999998,-0.319,-2.254,1.072,-0.221,2.268,0.43,0.923,-1.486,-0.698,1
0,2,0,-0.961,0.514,-1.951,0.364,-0.68,1.895,0.047,1.539,-0.63,0.094,2
0,2,0,-1.22,0.831,-1.6740000000000002,0.94,-0.425,1.463,-0.063,1.135,-0.422,0.06,3
0,2,0,-1.501,1.611,-1.003,1.156,-0.883,0.901,-0.16899999999999998,0.862,-0.151,0.16399999999999998,4
0,2,0,-2.176,1.952,-0.14400000000000002,1.659,-1.128,0.28,-0.6579999999999999,1.346,0.008,0.505,5
0,2,0,-1.891,1.776,-0.518,1.461,-1.05,0.5670000000000001,-0.307,1.152,-0.239,0.325,6
0,2,0,-2.624,1.653,-0.156,2.023,-1.052,0.086,-0.752,1.341,0.196,0.71,7
0,2,0,-3.763,3.252,-0.262,1.52,-1.6840000000000002,-0.225,0.235,0.989,0.616,0.046,8
0,2,0,-3.549,1.905,-0.509,1.963,-1.2,0.847,-0.157,0.8420000000000001,0.625,-0.586,9
0,2,0,-4.373,2.463,-0.171,1.501,-0.639,0.292,0.518,-0.114,1.127,0.332,10
0,2,0,-2.562,1.361,-0.94,1.3330000000000002,-1.047,1.208,-0.316,1.055,0.354,-0.77,11
0,2,0,-1.384,-0.321,-2.266,0.937,-0.289,2.29,0.463,1.096,-1.436,-0.701,1
0,2,0,-1.123,0.415,-1.954,0.563,-0.465,1.983,0.027000000000000003,1.614,-0.568,0.006999999999999999,2
0,2,0,-1.28,0.7979999999999999,-1.6469999999999998,0.968,-0.418,1.609,-0.031,1.224,-0.374,0.044,3
0,2,0,-1.475,1.557,-1.009,1.202,-0.846,0.883,-0.138,0.8220000000000001,-0.165,0.198,4
0,2,0,-2.205,1.804,-0.199,1.773,-1.089,0.312,-0.621,1.247,0.13699999999999998,0.406,5
0,2,0,-1.824,1.682,-0.669,1.483,-1.036,0.711,-0.249,1.193,-0.274,0.224,6
0,2,0,-2.574,1.814,-0.16699999999999998,1.826,-1.156,0.12,-0.609,1.543,0.11,0.75,7
0,2,0,-3.693,3.067,-0.273,1.619,-1.905,0.045,0.006,1.347,0.34600000000000003,0.36,8
0,2,0,-3.545,1.926,-0.512,1.732,-1.109,1.006,0.021,0.82,0.731,-0.639,9
0,2,0,-4.386,2.271,-0.157,1.536,-0.614,0.23,0.57,-0.117,1.074,0.397,10
0,2,0,-2.53,1.492,-0.936,1.21,-1.154,1.3159999999999998,-0.267,1.149,0.226,-0.77,11
0,2,0,-1.215,-0.28800000000000003,-2.423,0.8340000000000001,-0.379,2.266,0.503,1.337,-1.36,-0.682,1
0,2,0,-1.4,0.316,-1.894,0.83,-0.242,2.0380000000000003,0.003,1.6669999999999998,-0.515,-0.087,2
0,2,0,-1.494,0.6629999999999999,-1.58,1.1909999999999998,-0.252,1.777,-0.07200000000000001,1.189,-0.409,0.09,3
0,2,0,-1.5119999999999998,1.492,-1.053,1.262,-0.809,0.941,-0.122,0.807,-0.206,0.145,4
0,2,0,-2.274,1.653,-0.226,1.857,-0.971,0.327,-0.605,1.121,0.121,0.29100000000000004,5
0,2,0,-1.804,1.556,-0.8029999999999999,1.388,-0.989,0.7509999999999999,-0.029,0.963,-0.228,0.297,6
0,2,0,-2.447,1.914,-0.208,1.641,-1.159,0.104,-0.539,1.58,0.058,0.7859999999999999,7
0,2,0,-3.675,3.132,-0.241,1.587,-1.75,-0.222,0.039,1.052,0.545,0.233,8
0,2,0,-3.425,1.724,-0.638,1.5730000000000002,-1.041,1.204,-0.124,1.258,0.5479999999999999,-0.507,9
0,2,0,-4.376,2.216,-0.269,1.32,-0.66,0.159,0.7190000000000001,0.008,1.058,0.472,10
0,2,0,-2.52,1.52,-0.959,1.296,-1.103,1.149,-0.268,1.249,0.092,-0.682,11
